iter	Passed	Remaining
233	489	1601
234	490	1596
235	491	1591
236	492	1586
237	494	1583
238	496	1580
239	497	1576
240	499	1571
241	500	1567
242	501	1562
243	503	1558
244	504	1554
245	505	1550
246	507	1545
247	508	1541
248	509	1536
249	510	1532
250	511	1527
251	513	1524
252	514	1519
253	515	1514
254	516	1509
255	517	1504
256	518	1499
257	519	1495
258	520	1490
259	522	1486
260	523	1481
261	524	1476
262	525	1471
263	526	1467
264	527	1462
265	531	1465
266	553	1518
267	554	1514
268	555	1509
269	556	1504
270	557	1500
271	561	1503
272	562	1499
273	564	1494
274	565	1489
275	566	1485
276	567	1480
277	568	1476
278	569	1472
279	571	1468
280	572	1465
281	573	1460
282	574	1455
283	575	1450
284	576	1446
285	577	1441
286	578	1436
287	579	1431
288	579	1426
289	580	1422
290	581	1417
291	582	1412
292	583	1408
293	585	1405
294	586	1400
295	587	1396
296	588	1391
297	588	1387
298	590	1383
299	590	1378
300	591	1374
301	592	1369
302	593	1365
303	594	1361
304	595	1357
305	597	1354
306	598	1350
307	599	1346
308	600	1342
309	601	1339
310	603	1336
311	604	1332
312	605	1329
313	606	1325
314	607	1321
315	608	1317
316	609	1313
317	610	1309
318	612	1306
319	613	1303
320	614	1299
321	615	1296
322	617	1293
323	619	1291
324	620	1287
325	621	1284
326	622	1280
327	623	1277
328	624	1273
329	625	1270
330	626	1267
331	628	1263
332	629	1261
333	630	1258
334	631	1254
335	632	1250
336	634	1247
337	635	1243
338	635	1239
339	636	1236
340	637	1232
341	639	1229
342	640	1226
343	641	1222
344	642	1219
345	643	1215
346	644	1212
347	645	1208
348	645	1204
349	646	1201
350	647	1197
351	648	1194
352	649	1190
353	650	1187
354	651	1183
355	652	1180
356	653	1176
357	654	1173
358	655	1170
359	656	1166
360	657	1163
361	658	1159
362	658	1156
363	659	1152
364	660	1149
365	661	1145
366	662	1142
367	663	1139
368	664	1136
369	665	1133
370	666	1130
371	667	1127
372	668	1123
373	669	1120
374	670	1117
375	671	1114
376	673	1112
377	674	1109
378	675	1106
379	676	1103
380	677	1100
381	678	1097
382	679	1094
383	680	1091
384	681	1088
385	682	1085
386	683	1082
387	684	1079
388	685	1076
389	686	1073
390	687	1071
391	688	1068
392	690	1065
393	691	1063
394	692	1061
395	693	1058
396	694	1055
397	695	1052
398	696	1049
399	697	1046
400	698	1043
401	699	1040
402	700	1037
403	701	1034
404	702	1032
405	703	1029
406	704	1026
407	705	1023
408	706	1020
409	706	1017
410	707	1014
411	708	1011
412	709	1008
413	710	1005
414	711	1002
415	712	999
416	713	996
417	713	994
418	714	991
419	715	988
420	716	985
421	718	983
422	719	980
423	720	978
424	721	976
425	722	973
426	723	970
427	724	968
428	725	965
429	726	962
430	727	960
431	728	957
432	728	954
433	730	952
434	731	950
435	732	947
436	733	945
437	734	943
438	736	940
439	737	938
440	738	935
441	739	933
442	740	930
443	741	928
444	742	925
445	742	922
446	743	920
447	744	917
448	745	915
449	746	912
450	747	910
451	748	907
452	749	904
453	750	902
454	751	899
455	751	897
456	752	894
457	753	891
458	754	889
459	755	886
460	756	884
461	757	882
